page_type,page_slug,sport,age,section,product_or_item,specificity,notes
guide,crew,,,What you actually need,Sunscreen,generic,
guide,cross-country,,,What you actually need,gloves,generic,
guide,cross-country,,,What you actually need,shoes,generic,
guide,cross-country,,,What you actually need,shirt,generic,
guide,cross-country,,,What you actually need,beanie,generic,
guide,cross-country,,,What you can skip,water bottles,generic,
guide,dance,,,intro,shoes,generic,
guide,dance,,,"Universal items (every style, every age)",water bottle,generic,
guide,dance,,,"Universal items (every style, every age)",bag,generic,
guide,dance,,,Hip-hop,sneakers,generic,
guide,dance,,,Contemporary / Modern / Lyrical,ball,generic,
guide,dance,,,How to choose dance shoes (the universal test),socks,generic,
guide,flag-football,,,What you actually need,NOCSAE-stamped,specific,
guide,flag-football,,,What you actually need,Gloves,generic,
guide,flag-football,,,What you actually need,helmet,generic,
guide,flag-football,,,What you actually need,Cleats,generic,
guide,flag-football,,,What you actually need,shorts,generic,
guide,flag-football,,,What you actually need,shirt,generic,
guide,flag-football,,,What you actually need,mouthguard,specific,
guide,football,,,intro,NOCSAE,specific,
guide,football,,,intro,youth sport,generic,
guide,football,,,intro,helmet,generic,
guide,football,,,intro,helmets,generic,
guide,football,,,Ages 5–7 (Flag football),youth football,generic,
guide,football,,,Ages 5–7 (Flag football),cleats,generic,
guide,football,,,Ages 5–7 (Flag football),jersey,generic,
guide,football,,,Ages 5–7 (Flag football),shorts,generic,
guide,football,,,Ages 5–7 (Flag football),shirt,generic,
guide,football,,,"Ages 8–10 (Flag or starter tackle, depending on league)",Wilson TDY,specific,
guide,football,,,"Ages 8–10 (Flag or starter tackle, depending on league)",youth ball,generic,
guide,football,,,"Ages 8–10 (Flag or starter tackle, depending on league)",pants,generic,
guide,football,,,"Ages 8–10 (Flag or starter tackle, depending on league)",ball,generic,
guide,football,,,"Ages 11–12 (Tackle football, junior high feeder)",gloves,generic,
guide,football,,,Ages 13–14 (Junior high / freshman),Junior high,generic,
guide,football,,,Ages 13–14 (Junior high / freshman),shirts,generic,
guide,football,,,Ages 13–14 (Junior high / freshman),bag,generic,
guide,football,,,Ages 15+ (High school),adult helmet,generic,
guide,football,,,Ages 15+ (High school),jerseys,generic,
guide,golf,,,What you actually need,US Kids Golf,specific,
guide,golf,,,What you actually need,junior sets,generic,
guide,golf,,,What you actually need,adult clubs,generic,
guide,golf,,,What you actually need,junior golfers,generic,
guide,golf,,,What you actually need,glove,generic,
guide,golf,,,What you actually need,balls,generic,
guide,golf,,,Used gear notes,junior club,generic,
guide,golf,,,What you can skip,shoes,generic,
guide,golf,,,What you can skip,bag,generic,
guide,golf,,,Rules and citations,Junior League,generic,
guide,gymnastics,,,What you actually need,Athletic tape,generic,
guide,gymnastics,,,What you actually need,tape,generic,
guide,gymnastics,,,What you can skip,socks,generic,
guide,gymnastics,,,What you can skip,bag,generic,
guide,hockey,,,intro,Helmet,generic,
guide,hockey,,,intro,stick,generic,
guide,hockey,,,intro,Skates,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),HECC certified,specific,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),youth recreational,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),youth hockey,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),youth league,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),Junior or,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),youth flex,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),gloves,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),pants,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),Shin guards,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),Mouthguard,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),cage,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),Elbow pads,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),sticks,generic,
guide,hockey,,,Ages 5–7 (Learn-to-skate / Mini Mites),pucks,generic,
guide,hockey,,,Ages 8–10 (Mites and Squirts),youth helmet,generic,
guide,hockey,,,"Ages 11–12 (Pee Wee, body checking begins)",HECC-,specific,
guide,hockey,,,"Ages 11–12 (Pee Wee, body checking begins)",helmets,generic,
guide,hockey,,,Ages 13–14 (Bantam) and 15+ (Midget / High school),4 sticks,generic,
guide,hockey,,,Ages 13–14 (Bantam) and 15+ (Midget / High school),Bag,generic,
guide,lacrosse,,,intro,gloves,generic,
guide,lacrosse,,,intro,helmets,generic,
guide,lacrosse,,,intro,sticks,generic,
guide,lacrosse,,,Boys lacrosse,helmet,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),NOCSAE certified,specific,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),NOCSAE,specific,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),youth boys,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),youth level,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),glove,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),Cleats,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),cage,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),stick,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Lightning),42 inch sticks,generic,
guide,lacrosse,,,Ages 8–10 (Junior),40 inch stick,generic,
guide,lacrosse,,,Ages 8–10 (Junior),youth helmet,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Tots),38 inch length,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Tots),youth girls,generic,
guide,lacrosse,,,Ages 5–7 (Starter / Tots),goggles,generic,
guide,lacrosse,,,How to choose a lacrosse stick (boys or girls),adult midfield,generic,
guide,lacrosse,,,How to choose a lacrosse stick (boys or girls),ball,generic,
guide,martial-arts,,,What you actually need,NOCSAE-stamped,specific,
guide,martial-arts,,,What you actually need,mouthguard,generic,
guide,soccer,,,intro,youth sport,generic,
guide,soccer,,,intro,Cleats,generic,
guide,soccer,,,intro,shin guards,generic,
guide,soccer,,,intro,ball,generic,
guide,soccer,,,intro,water bottle,generic,
guide,soccer,,,Ages 5–7 (Mini-league or U6/U8),adult ball,generic,
guide,soccer,,,Ages 5–7 (Mini-league or U6/U8),socks,generic,
guide,soccer,,,Ages 5–7 (Mini-league or U6/U8),3 ball,generic,
guide,soccer,,,Ages 5–7 (Mini-league or U6/U8),5 ball,generic,
guide,soccer,,,Ages 8–10 (U10/U12),4 ball,generic,
guide,soccer,,,Ages 8–10 (U10/U12),bag,generic,
guide,soccer,,,Ages 8–10 (U10/U12),backpack,generic,
guide,soccer,,,Ages 11–12 (U13/U14),adult size,generic,
guide,soccer,,,Ages 11–12 (U13/U14),adult mediums,generic,
guide,soccer,,,Ages 11–12 (U13/U14),gloves,generic,
guide,soccer,,,Ages 13–14 (U14/U15 and middle-school),shoes,generic,
guide,softball,,,intro,12 inch versus,generic,
guide,softball,,,intro,9 inch in,generic,
guide,softball,,,intro,gloves,generic,
guide,softball,,,intro,bats,generic,
guide,softball,,,intro,12 inch ball,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),11 inch glove,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),youth softball,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),glove,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),24–26 inch bat,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),bat,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),helmets,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),Pants,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),face mask,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),ball,generic,
guide,softball,,,Ages 5–7 (Tee-ball or coach-pitch),24–26 inch ball,generic,
guide,softball,,,Ages 8–10,12 inch glove,generic,
guide,softball,,,Ages 8–10,29 inch bat,generic,
guide,softball,,,Ages 8–10,youth level,generic,
guide,softball,,,Ages 8–10,shorts,generic,
guide,softball,,,Ages 8–10,goal,generic,
guide,softball,,,Ages 11–12,USSSA or,specific,
guide,softball,,,Ages 11–12,12.5 inch glove,generic,
guide,softball,,,Ages 11–12,32 inch bat,generic,
guide,softball,,,Ages 11–12,30 glove,generic,
guide,softball,,,Ages 11–12,100 glove,generic,
guide,softball,,,Ages 13–14,34 inch bat,generic,
guide,softball,,,Ages 13–14,Metal cleats,generic,
guide,softball,,,Ages 13–14,Cleats,generic,
guide,softball,,,Ages 15+ (High school and travel),jerseys,generic,
guide,softball,,,Ages 15+ (High school and travel),batting gloves,generic,
guide,stunt,,,What you actually need,shoes,generic,
guide,stunt,,,What you actually need,sneakers,generic,
guide,stunt,,,What you actually need,Athletic tape,generic,
guide,stunt,,,What you actually need,tape,generic,
guide,swimming,,,What you actually need,Goggles,generic,
guide,swimming,,,What you actually need,8 goggles,generic,
guide,swimming,,,What you actually need,cap,generic,
guide,swimming,,,What you actually need,towel,generic,
guide,swimming,,,Used gear notes,caps,generic,
guide,swimming,,,What you can skip,bag,generic,
guide,tennis,,,What you actually need,adult racket,generic,
guide,tennis,,,What you actually need,shoes,generic,
guide,tennis,,,What you actually need,racket,generic,
guide,tennis,,,What you actually need,balls,generic,
guide,tennis,,,What you can skip,ball,generic,
guide,theater,,,intro,youth activity,generic,
guide,theater,,,Ages 5–7 (Starter / drama camp),shoes,generic,
guide,theater,,,Ages 5–7 (Starter / drama camp),pants,generic,
guide,theater,,,Ages 5–7 (Starter / drama camp),shirt,generic,
guide,theater,,,Ages 5–7 (Starter / drama camp),caps,generic,
guide,theater,,,Ages 5–7 (Starter / drama camp),water bottle,generic,
guide,theater,,,Ages 11–12 (Middle school and youth theater companies),Youth theater,generic,
guide,track-field,,,What you actually need,shoes,specific,
guide,track-field,,,What you actually need,shorts,generic,
guide,track-field,,,What you actually need,Socks,generic,
guide,track-field,,,What you can skip,backpack,generic,
guide,volleyball,,,intro,Shoes,generic,
guide,volleyball,,,intro,knee pads,generic,
guide,volleyball,,,intro,ball,generic,
guide,volleyball,,,intro,water bottle,generic,
guide,volleyball,,,Ages 5–7 (Mini-volley / Starter),youth volleyball,generic,
guide,volleyball,,,Ages 5–7 (Mini-volley / Starter),adult size,generic,
guide,volleyball,,,Ages 5–7 (Mini-volley / Starter),jerseys,generic,
guide,volleyball,,,Ages 5–7 (Mini-volley / Starter),shorts,generic,
guide,volleyball,,,Ages 5–7 (Mini-volley / Starter),shirt,generic,
guide,volleyball,,,Ages 5–7 (Mini-volley / Starter),balls,generic,
guide,volleyball,,,Ages 5–7 (Mini-volley / Starter),net,generic,
guide,volleyball,,,Ages 8–10,adult volleyball,generic,
guide,volleyball,,,Ages 11–12 (Middle school and travel),Mizuno LR6,specific,
guide,volleyball,,,Ages 13–14 (Middle school and serious club),bag,generic,
guide,volleyball,,,Ages 13–14 (Middle school and serious club),backpack,generic,
guide,volleyball,,,Ages 15+ (High school and serious club),Junior Nationals,generic,
resource,fair-lineup-spreadsheet,,,One last thing,bats,generic,
resource,local-sponsor-email-script,,,intro,youth teams,generic,
resource,local-sponsor-email-script,,,The email,youth baseball,generic,
resource,local-sponsor-email-script,,,The email,jerseys,generic,
resource,maxpreps-what-it-is,,,intro,MaxPreps,specific,
resource,maxpreps-what-it-is,,,What to skip,Hudl,specific,
resource,picture-day-pro-or-parent,,,"How to do it well, if you go the parent route",glove,generic,
resource,picture-day-pro-or-parent,,,"How to do it well, if you go the parent route",bat,generic,
resource,picture-day-pro-or-parent,,,"How to do it well, if you go the parent route",jerseys,generic,
resource,picture-day-the-shot-list,,,How to herd kids efficiently,stick,generic,
resource,practice-plan-parents-can-read,,,intro,youth coach,generic,
resource,practice-plan-parents-can-read,,,Why it works,youth level,generic,
resource,recruit-assistant-coaches,,,intro,youth teams,generic,
resource,recruit-assistant-coaches,,,Beyond the formal coaching staff,youth team,generic,
resource,recruit-assistant-coaches,,,A small honest note,youth coaches,generic,
resource,setting-up-gamechanger,,,intro,GameChanger,specific,
resource,setting-up-gamechanger,,,intro,youth baseball,generic,
resource,setting-up-gamechanger,,,What GameChanger does,bat,generic,
resource,setting-up-gamechanger,,,What to know before you start,stick,generic,
resource,snap-raise-honest-take,,,intro,Snap Raise,specific,
resource,snap-raise-honest-take,,,intro,ball,generic,
resource,snap-raise-honest-take,,,When to use which,goal,generic,
resource,snap-raise-honest-take,,,What to send to families before launching,jerseys,generic,
resource,starting-the-team-group-chat,,,Five group-chat rules I wish someone had told me,GameChanger,specific,
resource,t-ball-cones-stop-the-bunching,,,intro,ball,generic,
resource,t-ball-cones-stop-the-bunching,,,intro,cones,generic,
resource,t-ball-cones-stop-the-bunching,,,The setup,cone,generic,
resource,team-pizza-night-fundraiser,,,intro,youth team,generic,
resource,team-pizza-night-fundraiser,,,The trade-off,Snap Raise,specific,
resource,the-fair-substitution-rule,,,The inning-rotation pattern,bats,generic,
resource,the-fair-substitution-rule,,,The inning-rotation pattern,goal,generic,
resource,the-fair-substitution-rule,,,The email template before the season,bat,generic,
resource,the-fair-substitution-rule,,,What not to do,stick,generic,
resource,the-hard-parent-email-script,,,For the parent upset about playing time,bats,generic,
resource,the-snack-signup-that-fills,,,SignupGenius versus Google Form versus group chat,SignupGenius,specific,
resource,the-snack-signup-that-fills,,,The message that gets parents to sign up immediately,bag,generic,
resource,the-snack-signup-that-fills,,,The dietary-restriction note,water bottles,generic,
resource,travel-tournament-packing-list,,,intro,ball,generic,
resource,travel-tournament-packing-list,,,intro,bag,generic,
resource,travel-tournament-packing-list,,,For your kid,Glove,generic,
resource,travel-tournament-packing-list,,,For your kid,Bat,generic,
resource,travel-tournament-packing-list,,,For your kid,Helmet,generic,
resource,travel-tournament-packing-list,,,For your kid,Cleats,generic,
resource,travel-tournament-packing-list,,,For your kid,pants,generic,
resource,travel-tournament-packing-list,,,For your kid,socks,generic,
resource,travel-tournament-packing-list,,,For your kid,Hat,generic,
resource,travel-tournament-packing-list,,,For your kid,Water bottle,generic,
resource,travel-tournament-packing-list,,,For your kid,Sunscreen,generic,
resource,travel-tournament-packing-list,,,For yourself,GameChanger,specific,
resource,travel-tournament-packing-list,,,For the team,athletic tape,generic,
resource,travel-tournament-packing-list,,,For the team,tape,generic,
resource,travel-tournament-packing-list,,,The hotel essentials (for multi-day),towel,generic,
resource,travel-tournament-packing-list,,,The morning-of routine,water bottles,generic,
sizing,baseball,baseball,,Glove,glove,generic,
sizing,baseball,baseball,,Glove,5 inch,generic,
sizing,baseball,baseball,,Glove,12 inch,generic,
sizing,baseball,baseball,,Bat,bat,generic,
sizing,baseball,baseball,,Bat,USABat,specific,
sizing,baseball,baseball,,Bat,BBCOR,specific,
sizing,baseball,baseball,,Helmet,helmet,generic,
sizing,baseball,baseball,,Helmet,4 inch,generic,
sizing,baseball,baseball,,Helmet,NOCSAE,specific,
sizing,baseball,baseball,,Cleats,cleats,generic,
sizing,softball,softball,,Glove,glove,generic,
sizing,softball,softball,,Glove,11 inch,generic,
sizing,softball,softball,,Glove,12 inch,generic,
sizing,softball,softball,,Glove,5 inch,generic,
sizing,softball,softball,,Glove,13 inch,generic,
sizing,softball,softball,,Bat,bat,generic,
sizing,softball,softball,,Face mask and helmet,shin guard,generic,
sizing,soccer,soccer,,Cleats,cleats,generic,
sizing,soccer,soccer,,Shin guards,shin guard,generic,
sizing,soccer,soccer,,Shin guards,6-7 inch,generic,
sizing,soccer,soccer,,Shin guards,7-9 inch,generic,
sizing,soccer,soccer,,Shin guards,6 inch,generic,
sizing,soccer,soccer,,Shin guards,7 inch,generic,
sizing,soccer,soccer,,Shin guards,9 inch,generic,
sizing,basketball,basketball,,Shoes,shoes,generic,
sizing,basketball,basketball,,Ball,5 inch,generic,
sizing,basketball,basketball,,Mouthguard,NOCSAE,specific,
sizing,basketball,basketball,,Mouthguard,mouthguard,generic,
sizing,basketball,basketball,,Cleats,cleats,generic,
sizing,basketball,basketball,,Gloves,glove,generic,
sizing,basketball,basketball,,Gloves,stick,generic,
sizing,football,football,,Helmet,helmet,generic,
sizing,football,football,,Helmet,stick,generic,
sizing,football,football,,Helmet,NOCSAE,specific,
sizing,football,football,,Cleats,cleats,generic,
sizing,hockey,hockey,,Skates,cap,generic,
sizing,hockey,hockey,,Skates,skates,generic,
sizing,hockey,hockey,,Helmet,helmet,generic,
sizing,hockey,hockey,,Helmet,stick,generic,
sizing,hockey,hockey,,Helmet,HECC,specific,
sizing,lacrosse,lacrosse,,Stick,stick,generic,
sizing,lacrosse,lacrosse,,Stick,37-42 inch,generic,
sizing,lacrosse,lacrosse,,Stick,40-72 inch,generic,
sizing,lacrosse,lacrosse,,Stick,42 inch,generic,
sizing,lacrosse,lacrosse,,Stick,72 inch,generic,
sizing,lacrosse,lacrosse,,Stick,35-43 inch,generic,
sizing,lacrosse,lacrosse,,Stick,43 inch,generic,
sizing,lacrosse,lacrosse,,Stick,25 inch,generic,
sizing,lacrosse,lacrosse,,Helmet (boys),NOCSAE,specific,
sizing,lacrosse,lacrosse,,Helmet (boys),mouthguard,generic,
sizing,volleyball,volleyball,,Shoes,shoes,generic,
sizing,volleyball,volleyball,,Knee pads,cap,generic,
sizing,swimming,swimming,,Cap,cap,generic,
sizing,swimming,swimming,,Cold weather,glove,generic,
sizing,tennis,tennis,,Racket,19-21 inch,generic,
sizing,tennis,tennis,,Racket,21 inch,generic,
sizing,tennis,tennis,,Racket,21-23 inch,generic,
sizing,tennis,tennis,,Racket,23 inch,generic,
sizing,tennis,tennis,,Racket,23-25 inch,generic,
sizing,tennis,tennis,,Racket,25 inch,generic,
sizing,tennis,tennis,,Racket,25-26 inch,generic,
sizing,tennis,tennis,,Racket,26 inch,generic,
sizing,tennis,tennis,,Racket,27 inch,generic,
sizing,tennis,tennis,,Shoes,shoes,generic,
sizing,golf,golf,,Glove,glove,generic,
sizing,golf,golf,,Shoes,shoes,generic,
sizing,crew,crew,,Mouthguard and protection,shin guard,generic,
sizing,cheer,cheer,,Practice wear,shorts,generic,
sizing,theater,theater,,Dance shoes (musicals),shoes,generic,
sizing,choir,choir,,Concert attire,pants,generic,
